"","method","k_num","ptime","k_orig","e","n","sepVal","run","sample","sampling_iteration","simulation_iteration"
"1","BIC.best",4,6.68,3,1,600,0.1,"9V6Bhcl",100,100,25
"2","pamk.best",3,1.482,3,0,600,0.1,"9V6Bhcl",100,100,25
"3","calinski.best",3,2.505,3,0,600,0.1,"9V6Bhcl",100,100,25
"4","apclus.best",19,2.524,3,16,600,0.1,"9V6Bhcl",100,100,25
"5","BIC_kluster_mean",3,59.09936,3,0,600,0.1,"9V6Bhcl",100,100,25
"6","cal_kluster_mean",4,87.5178,3,1,600,0.1,"9V6Bhcl",100,100,25
"7","pam_kluster_mean",1,5.46228,3,-2,600,0.1,"9V6Bhcl",100,100,25
"8","ap_kluster_mean",6,2.16612000000001,3,3,600,0.1,"9V6Bhcl",100,100,25
"9","BIC_kluster_frq",3,59.09936,3,0,600,0.1,"9V6Bhcl",100,100,25
"10","cal_kluster_frq",3,87.5178,3,0,600,0.1,"9V6Bhcl",100,100,25
"11","pam_kluster_frq",1,5.46228,3,-2,600,0.1,"9V6Bhcl",100,100,25
"12","ap_kluster_frq",6,2.16612000000001,3,3,600,0.1,"9V6Bhcl",100,100,25
"13","BIC.best",3,6.31700000000001,3,0,600,0.2,"cm2Z4f5",100,100,25
"14","pamk.best",3,1.81799999999976,3,0,600,0.2,"cm2Z4f5",100,100,25
"15","calinski.best",3,1.92599999999993,3,0,600,0.2,"cm2Z4f5",100,100,25
"16","apclus.best",13,1.36400000000003,3,10,600,0.2,"cm2Z4f5",100,100,25
"17","BIC_kluster_mean",3,47.494,3,0,600,0.2,"cm2Z4f5",100,100,25
"18","cal_kluster_mean",4,84.30948,3,1,600,0.2,"cm2Z4f5",100,100,25
"19","pam_kluster_mean",1,5.47059999999998,3,-2,600,0.2,"cm2Z4f5",100,100,25
"20","ap_kluster_mean",5,2.09355999999996,3,2,600,0.2,"cm2Z4f5",100,100,25
"21","BIC_kluster_frq",3,47.494,3,0,600,0.2,"cm2Z4f5",100,100,25
"22","cal_kluster_frq",3,84.30948,3,0,600,0.2,"cm2Z4f5",100,100,25
"23","pam_kluster_frq",1,5.47059999999998,3,-2,600,0.2,"cm2Z4f5",100,100,25
"24","ap_kluster_frq",5,2.09355999999996,3,2,600,0.2,"cm2Z4f5",100,100,25
"25","BIC.best",3,6.37400000000071,3,0,600,0.3,"RlaKtba",100,100,25
"26","pamk.best",3,1.73999999999978,3,0,600,0.3,"RlaKtba",100,100,25
"27","calinski.best",3,1.81099999999969,3,0,600,0.3,"RlaKtba",100,100,25
"28","apclus.best",9,0.552999999999884,3,6,600,0.3,"RlaKtba",100,100,25
"29","BIC_kluster_mean",3,45.0578,3,0,600,0.3,"RlaKtba",100,100,25
"30","cal_kluster_mean",3,83.7648,3,0,600,0.3,"RlaKtba",100,100,25
"31","pam_kluster_mean",1,5.38671999999999,3,-2,600,0.3,"RlaKtba",100,100,25
"32","ap_kluster_mean",3,1.87784,3,0,600,0.3,"RlaKtba",100,100,25
"33","BIC_kluster_frq",3,45.0578,3,0,600,0.3,"RlaKtba",100,100,25
"34","cal_kluster_frq",3,83.7648,3,0,600,0.3,"RlaKtba",100,100,25
"35","pam_kluster_frq",1,5.38671999999999,3,-2,600,0.3,"RlaKtba",100,100,25
"36","ap_kluster_frq",3,1.87784,3,0,600,0.3,"RlaKtba",100,100,25
"37","BIC.best",3,5.1869999999999,3,0,600,0.4,"vi20qNY",100,100,25
"38","pamk.best",3,1.60500000000138,3,0,600,0.4,"vi20qNY",100,100,25
"39","calinski.best",3,1.91499999999905,3,0,600,0.4,"vi20qNY",100,100,25
"40","apclus.best",7,0.531000000000859,3,4,600,0.4,"vi20qNY",100,100,25
"41","BIC_kluster_mean",3,38.99812,3,0,600,0.4,"vi20qNY",100,100,25
"42","cal_kluster_mean",4,85.8338399999999,3,1,600,0.4,"vi20qNY",100,100,25
"43","pam_kluster_mean",1,5.21183999999994,3,-2,600,0.4,"vi20qNY",100,100,25
"44","ap_kluster_mean",3,1.90815999999992,3,0,600,0.4,"vi20qNY",100,100,25
"45","BIC_kluster_frq",3,38.99812,3,0,600,0.4,"vi20qNY",100,100,25
"46","cal_kluster_frq",3,85.8338399999999,3,0,600,0.4,"vi20qNY",100,100,25
"47","pam_kluster_frq",1,5.21183999999994,3,-2,600,0.4,"vi20qNY",100,100,25
"48","ap_kluster_frq",3,1.90815999999992,3,0,600,0.4,"vi20qNY",100,100,25
"49","BIC.best",3,6.51000000000022,3,0,600,0.5,"xt9jVHv",100,100,25
"50","pamk.best",3,2.29199999999946,3,0,600,0.5,"xt9jVHv",100,100,25
"51","calinski.best",3,1.77900000000045,3,0,600,0.5,"xt9jVHv",100,100,25
"52","apclus.best",5,1.09300000000076,3,2,600,0.5,"xt9jVHv",100,100,25
"53","BIC_kluster_mean",3,41.7188399999999,3,0,600,0.5,"xt9jVHv",100,100,25
"54","cal_kluster_mean",3,80.14304,3,0,600,0.5,"xt9jVHv",100,100,25
"55","pam_kluster_mean",1,5.58260000000002,3,-2,600,0.5,"xt9jVHv",100,100,25
"56","ap_kluster_mean",3,1.8445199999999,3,0,600,0.5,"xt9jVHv",100,100,25
"57","BIC_kluster_frq",3,41.7188399999999,3,0,600,0.5,"xt9jVHv",100,100,25
"58","cal_kluster_frq",3,80.14304,3,0,600,0.5,"xt9jVHv",100,100,25
"59","pam_kluster_frq",1,5.58260000000002,3,-2,600,0.5,"xt9jVHv",100,100,25
"60","ap_kluster_frq",3,1.8445199999999,3,0,600,0.5,"xt9jVHv",100,100,25
"61","BIC.best",3,5.14600000000064,3,0,600,0.6,"0irkaDh",100,100,25
"62","pamk.best",3,1.52599999999802,3,0,600,0.6,"0irkaDh",100,100,25
"63","calinski.best",3,1.68900000000212,3,0,600,0.6,"0irkaDh",100,100,25
"64","apclus.best",5,1.04599999999846,3,2,600,0.6,"0irkaDh",100,100,25
"65","BIC_kluster_mean",3,36.4225999999999,3,0,600,0.6,"0irkaDh",100,100,25
"66","cal_kluster_mean",3,79.4399200000003,3,0,600,0.6,"0irkaDh",100,100,25
"67","pam_kluster_mean",1,5.20775999999998,3,-2,600,0.6,"0irkaDh",100,100,25
"68","ap_kluster_mean",3,1.81076000000001,3,0,600,0.6,"0irkaDh",100,100,25
"69","BIC_kluster_frq",3,36.4225999999999,3,0,600,0.6,"0irkaDh",100,100,25
"70","cal_kluster_frq",3,79.4399200000003,3,0,600,0.6,"0irkaDh",100,100,25
"71","pam_kluster_frq",1,5.20775999999998,3,-2,600,0.6,"0irkaDh",100,100,25
"72","ap_kluster_frq",3,1.81076000000001,3,0,600,0.6,"0irkaDh",100,100,25
"73","BIC.best",3,3.42299999999886,3,0,600,0.7,"274DNZ0",100,100,25
"74","pamk.best",3,1.26699999999983,3,0,600,0.7,"274DNZ0",100,100,25
"75","calinski.best",3,1.77999999999884,3,0,600,0.7,"274DNZ0",100,100,25
"76","apclus.best",3,0.950000000000728,3,0,600,0.7,"274DNZ0",100,100,25
"77","BIC_kluster_mean",3,32.9214399999999,3,0,600,0.7,"274DNZ0",100,100,25
"78","cal_kluster_mean",3,83.48,3,0,600,0.7,"274DNZ0",100,100,25
"79","pam_kluster_mean",1,5.15388000000006,3,-2,600,0.7,"274DNZ0",100,100,25
