"","method","k_mean","k_freq","ptime","k_orig","e_mean","e_freq","n","sample","sepVal","run","sampling_iteration","simulation_iteration"
"1","BIC_kluster",4,3,54.6180000000058,15,-11,-12,2250000,100,0.1,"0WKFw",100,1
"2","pam_kluster",7,2,5.50399999997535,15,-8,-13,2250000,100,0.1,"0WKFw",100,1
"3","cal_kluster",15,15,101.66599999999,15,0,0,2250000,100,0.1,"0WKFw",100,1
"4","ap_kluster",7,7,3.08800000002884,15,-8,-8,2250000,100,0.1,"0WKFw",100,1
"5","BIC_kluster",9,15,107.744999999995,15,-6,0,2250000,200,0.1,"0WKFw",100,1
"6","pam_kluster",10,15,25.3580000000002,15,-5,0,2250000,200,0.1,"0WKFw",100,1
"7","cal_kluster",15,15,152.867999999995,15,0,0,2250000,200,0.1,"0WKFw",100,1
"8","ap_kluster",12,13,10.1260000000038,15,-3,-2,2250000,200,0.1,"0WKFw",100,1
"9","BIC_kluster",13,15,158.263000000017,15,-2,0,2250000,300,0.1,"0WKFw",100,1
"10","pam_kluster",9,15,63.110999999979,15,-6,0,2250000,300,0.1,"0WKFw",100,1
"11","cal_kluster",15,15,207.906000000003,15,0,0,2250000,300,0.1,"0WKFw",100,1
"12","ap_kluster",15,15,19.814000000013,15,0,0,2250000,300,0.1,"0WKFw",100,1
"13","BIC_kluster",15,15,203.508000000016,15,0,0,2250000,400,0.1,"0WKFw",100,1
"14","pam_kluster",9,15,125.858999999997,15,-6,0,2250000,400,0.1,"0WKFw",100,1
"15","cal_kluster",15,15,264.920999999991,15,0,0,2250000,400,0.1,"0WKFw",100,1
"16","ap_kluster",15,15,31.7739999999867,15,0,0,2250000,400,0.1,"0WKFw",100,1
"17","BIC_kluster",15,15,256.870999999988,15,0,0,2250000,500,0.1,"0WKFw",100,1
"18","pam_kluster",10,15,211.353999999988,15,-5,0,2250000,500,0.1,"0WKFw",100,1
"19","cal_kluster",15,15,326.163000000004,15,0,0,2250000,500,0.1,"0WKFw",100,1
"20","ap_kluster",15,15,48.7140000000181,15,0,0,2250000,500,0.1,"0WKFw",100,1
"21","BIC_kluster",15,15,560.24600000001,15,0,0,2250000,1000,0.1,"0WKFw",100,1
"22","pam_kluster",11,15,1019.46800000003,15,-4,0,2250000,1000,0.1,"0WKFw",100,1
"23","cal_kluster",15,15,648.09999999998,15,0,0,2250000,1000,0.1,"0WKFw",100,1
"24","ap_kluster",15,15,205.929999999982,15,0,0,2250000,1000,0.1,"0WKFw",100,1
"25","BIC_kluster",5,4,47.0200000000295,15,-10,-11,2250000,100,0.2,"Y2OLu",100,1
"26","pam_kluster",14,15,5.4449999999888,15,-1,0,2250000,100,0.2,"Y2OLu",100,1
"27","cal_kluster",15,15,86.8050000000076,15,0,0,2250000,100,0.2,"Y2OLu",100,1
"28","ap_kluster",7,7,2.27699999998367,15,-8,-8,2250000,100,0.2,"Y2OLu",100,1
"29","BIC_kluster",14,15,98.0269999999982,15,-1,0,2250000,200,0.2,"Y2OLu",100,1
"30","pam_kluster",15,15,23.8780000000006,15,0,0,2250000,200,0.2,"Y2OLu",100,1
"31","cal_kluster",15,15,128.956999999984,15,0,0,2250000,200,0.2,"Y2OLu",100,1
"32","ap_kluster",13,13,8.42100000003484,15,-2,-2,2250000,200,0.2,"Y2OLu",100,1
"33","BIC_kluster",15,15,143.860000000001,15,0,0,2250000,300,0.2,"Y2OLu",100,1
"34","pam_kluster",15,15,57.9269999999742,15,0,0,2250000,300,0.2,"Y2OLu",100,1
"35","cal_kluster",15,15,174.710000000043,15,0,0,2250000,300,0.2,"Y2OLu",100,1
"36","ap_kluster",15,15,17.2089999999735,15,0,0,2250000,300,0.2,"Y2OLu",100,1
"37","BIC_kluster",15,15,198.071000000004,15,0,0,2250000,400,0.2,"Y2OLu",100,1
"38","pam_kluster",15,15,114.255999999987,15,0,0,2250000,400,0.2,"Y2OLu",100,1
"39","cal_kluster",15,15,223.347000000009,15,0,0,2250000,400,0.2,"Y2OLu",100,1
"40","ap_kluster",15,15,27.254999999961,15,0,0,2250000,400,0.2,"Y2OLu",100,1
"41","BIC_kluster",15,15,264.927000000032,15,0,0,2250000,500,0.2,"Y2OLu",100,1
"42","pam_kluster",15,15,191.604999999996,15,0,0,2250000,500,0.2,"Y2OLu",100,1
"43","cal_kluster",15,15,269.698000000004,15,0,0,2250000,500,0.2,"Y2OLu",100,1
"44","ap_kluster",15,15,43.0109999999986,15,0,0,2250000,500,0.2,"Y2OLu",100,1
"45","BIC_kluster",15,15,690.612999999939,15,0,0,2250000,1000,0.2,"Y2OLu",100,1
"46","pam_kluster",15,15,919.077000000026,15,0,0,2250000,1000,0.2,"Y2OLu",100,1
"47","cal_kluster",15,15,537.911000000007,15,0,0,2250000,1000,0.2,"Y2OLu",100,1
"48","ap_kluster",15,15,185.861999999965,15,0,0,2250000,1000,0.2,"Y2OLu",100,1
"49","BIC_kluster",12,15,36.3449999999866,15,-3,0,2250000,100,0.3,"VAN4I",100,1
"50","pam_kluster",15,15,5.18199999997887,15,0,0,2250000,100,0.3,"VAN4I",100,1
"51","cal_kluster",15,15,90.2809999999881,15,0,0,2250000,100,0.3,"VAN4I",100,1
"52","ap_kluster",8,7,2.89900000003399,15,-7,-8,2250000,100,0.3,"VAN4I",100,1
"53","BIC_kluster",15,15,69.9260000000068,15,0,0,2250000,200,0.3,"VAN4I",100,1
"54","pam_kluster",15,15,22.9709999999759,15,0,0,2250000,200,0.3,"VAN4I",100,1
"55","cal_kluster",15,15,137.451000000037,15,0,0,2250000,200,0.3,"VAN4I",100,1
"56","ap_kluster",14,14,8.10199999996257,15,-1,-1,2250000,200,0.3,"VAN4I",100,1
"57","BIC_kluster",15,15,95.4369999999908,15,0,0,2250000,300,0.3,"VAN4I",100,1
"58","pam_kluster",15,15,57.0309999999736,15,0,0,2250000,300,0.3,"VAN4I",100,1
"59","cal_kluster",15,15,185.166000000048,15,0,0,2250000,300,0.3,"VAN4I",100,1
"60","ap_kluster",15,15,17.2309999999779,15,0,0,2250000,300,0.3,"VAN4I",100,1
"61","BIC_kluster",15,15,134.916999999972,15,0,0,2250000,400,0.3,"VAN4I",100,1
"62","pam_kluster",15,15,108.400000000009,15,0,0,2250000,400,0.3,"VAN4I",100,1
"63","cal_kluster",15,15,235.752000000022,15,0,0,2250000,400,0.3,"VAN4I",100,1
"64","ap_kluster",15,15,27.3500000000131,15,0,0,2250000,400,0.3,"VAN4I",100,1
"65","BIC_kluster",15,15,190.403000000064,15,0,0,2250000,500,0.3,"VAN4I",100,1
"66","pam_kluster",15,15,183.746999999981,15,0,0,2250000,500,0.3,"VAN4I",100,1
"67","cal_kluster",15,15,285.430999999997,15,0,0,2250000,500,0.3,"VAN4I",100,1
"68","ap_kluster",15,15,42.9619999999704,15,0,0,2250000,500,0.3,"VAN4I",100,1
"69","BIC_kluster",15,15,566.937999999973,15,0,0,2250000,1000,0.3,"VAN4I",100,1
"70","pam_kluster",15,15,884.230000000018,15,0,0,2250000,1000,0.3,"VAN4I",100,1
"71","cal_kluster",15,15,550.470999999983,15,0,0,2250000,1000,0.3,"VAN4I",100,1
"72","ap_kluster",15,15,184.544000000016,15,0,0,2250000,1000,0.3,"VAN4I",100,1
"73","BIC_kluster",15,15,35.4780000000319,15,0,0,2250000,100,0.4,"6vAvH",100,1
"74","pam_kluster",15,15,5.27800000002753,15,0,0,2250000,100,0.4,"6vAvH",100,1
"75","cal_kluster",15,15,83.4439999999377,15,0,0,2250000,100,0.4,"6vAvH",100,1
"76","ap_kluster",8,9,2.83300000005693,15,-7,-6,2250000,100,0.4,"6vAvH",100,1
"77","BIC_kluster",15,15,69.9839999999822,15,0,0,2250000,200,0.4,"6vAvH",100,1
"78","pam_kluster",15,15,23.0400000000154,15,0,0,2250000,200,0.4,"6vAvH",100,1
"79","cal_kluster",15,15,120.18099999999,15,0,0,2250000,200,0.4,"6vAvH",100,1
"80","ap_kluster",14,15,8.07300000001123,15,-1,0,2250000,200,0.4,"6vAvH",100,1
"81","BIC_kluster",15,15,107.249999999964,15,0,0,2250000,300,0.4,"6vAvH",100,1
"82","pam_kluster",15,15,57.2019999999393,15,0,0,2250000,300,0.4,"6vAvH",100,1
"83","cal_kluster",15,15,157.201000000045,15,0,0,2250000,300,0.4,"6vAvH",100,1
"84","ap_kluster",15,15,17.4869999999792,15,0,0,2250000,300,0.4,"6vAvH",100,1
"85","BIC_kluster",15,15,143.329000000071,15,0,0,2250000,400,0.4,"6vAvH",100,1
"86","pam_kluster",15,15,109.421999999977,15,0,0,2250000,400,0.4,"6vAvH",100,1
"87","cal_kluster",15,15,196.266000000003,15,0,0,2250000,400,0.4,"6vAvH",100,1
"88","ap_kluster",15,15,27.7969999999987,15,0,0,2250000,400,0.4,"6vAvH",100,1
"89","BIC_kluster",15,15,185.649000000005,15,0,0,2250000,500,0.4,"6vAvH",100,1
"90","pam_kluster",15,15,185.751000000004,15,0,0,2250000,500,0.4,"6vAvH",100,1
"91","cal_kluster",15,15,234.588000000011,15,0,0,2250000,500,0.4,"6vAvH",100,1
"92","ap_kluster",15,15,43.1869999999544,15,0,0,2250000,500,0.4,"6vAvH",100,1
"93","BIC_kluster",15,15,495.977999999988,15,0,0,2250000,1000,0.4,"6vAvH",100,1
"94","pam_kluster",15,15,852.857000000004,15,0,0,2250000,1000,0.4,"6vAvH",100,1
"95","cal_kluster",15,15,435.869999999966,15,0,0,2250000,1000,0.4,"6vAvH",100,1
